addressRaw,area,baths,beds,city,currency,id,image,latitude,longitude,photos,price,state,status,street,url,zipcode
"580 Mize Rd, Toccoa, GA 30577",2026,2,3,Toccoa,$,2055735838,https://photos.zillowstatic.com/fp/3d0854b80db0e2e72c12e01b8fea61e9-p_e.jpg,34.55271,-83.32205,"https://photos.zillowstatic.com/fp/3d0854b80db0e2e72c12e01b8fea61e9-p_e.jpg, https://photos.zillowstatic.com/fp/ad71c03949d8505d5560a7df681fdb63-p_e.jpg, https://photos.zillowstatic.com/fp/1270569382c498d8329bbf3658e04535-p_e.jpg, https://photos.zillowstatic.com/fp/e2b53432fc6a6778d30b4285a952cfc5-p_e.jpg, https://photos.zillowstatic.com/fp/5c8c96522eeefea8e5a9b6294dd1c3e0-p_e.jpg, https://photos.zillowstatic.com/fp/8a5704499164b282b2dbc90f6c991606-p_e.jpg, https://photos.zillowstatic.com/fp/48e47ba8f10ef98a2685760a57b2f132-p_e.jpg, https://photos.zillowstatic.com/fp/d8d5876d0f1254423dcd37530d9dd194-p_e.jpg, https://photos.zillowstatic.com/fp/8f3e5b7918ab95226f2ec6e1464fb285-p_e.jpg, https://photos.zillowstatic.com/fp/c80979fdc2cabbe5d07d7a1d173b54fb-p_e.jpg, https://photos.zillowstatic.com/fp/f8e8eb8628b8be6d6478b050ec9226d7-p_e.jpg, https://photos.zillowstatic.com/fp/c14d88fe1be280f701d07e1ea8b52c02-p_e.jpg, https://photos.zillowstatic.com/fp/82c042a635f0807b47df06ae5b618692-p_e.jpg, https://photos.zillowstatic.com/fp/25fd1a529bedaba872f13dda1c02eeaf-p_e.jpg, https://photos.zillowstatic.com/fp/678be073debbed0ed5aebd23c4b80560-p_e.jpg, https://photos.zillowstatic.com/fp/40dea165c23100a5704c15562808bdfd-p_e.jpg, https://photos.zillowstatic.com/fp/f3cd9d2c05c5053c1a05ebc615ebc207-p_e.jpg",1500,GA,FOR_RENT,580 Mize Rd,https://www.zillow.com/homedetails/580-Mize-Rd-Toccoa-GA-30577/2055735838_zpid/,30577
"586 Poplar St, Toccoa, GA 30577",1200,2,3,Toccoa,$,105376025,https://photos.zillowstatic.com/fp/4668d85a1ddcf6a4b2e10c7802d0caf9-p_e.jpg,34.56332,-83.3187,"https://photos.zillowstatic.com/fp/4668d85a1ddcf6a4b2e10c7802d0caf9-p_e.jpg, https://photos.zillowstatic.com/fp/50f4c487d0a33238f4387e5ae66d9988-p_e.jpg, https://photos.zillowstatic.com/fp/8c251752c27119dcc4a7f751c67434e9-p_e.jpg, https://photos.zillowstatic.com/fp/65bc934c63a44955aa724da3aa3c1466-p_e.jpg, https://photos.zillowstatic.com/fp/dc83f730ce7dc8295fc21b03629c61df-p_e.jpg, https://photos.zillowstatic.com/fp/987d46b59ecbd8bb61b73328d3a5d2f0-p_e.jpg, https://photos.zillowstatic.com/fp/ebd63d258373fb9e1054ee987e629fdb-p_e.jpg, https://photos.zillowstatic.com/fp/d469465de36f3bca16d746e8d85e1b88-p_e.jpg, https://photos.zillowstatic.com/fp/d5f39f8ffd669778fd102b45bcd39c1b-p_e.jpg, https://photos.zillowstatic.com/fp/e9ea3f415eb19016764c31c28d4ed23a-p_e.jpg, https://photos.zillowstatic.com/fp/1f910da2ba6c5e71d3f2f5f2f36bb51d-p_e.jpg, https://photos.zillowstatic.com/fp/4b677b5d5202e0c3281ec6dffce5416c-p_e.jpg, https://photos.zillowstatic.com/fp/c4a75c77155a4550db5c6ca4d2718971-p_e.jpg, https://photos.zillowstatic.com/fp/f1207893e07052d8471f8e56bf8e23c1-p_e.jpg, https://photos.zillowstatic.com/fp/0c937d26776761f80f53991c5f9a0b38-p_e.jpg, https://photos.zillowstatic.com/fp/a9dc6fe488c4f863e68eb622ee5db383-p_e.jpg",1395,GA,FOR_RENT,586 Poplar St,https://www.zillow.com/homedetails/586-Poplar-St-Toccoa-GA-30577/105376025_zpid/,30577
"(undisclosed Address), Toccoa, GA 30577",864,2,2,Toccoa,$,2054004288,https://photos.zillowstatic.com/fp/17c7ce6956a36e51216948e3624dc27f-p_e.jpg,,,"https://photos.zillowstatic.com/fp/17c7ce6956a36e51216948e3624dc27f-p_e.jpg, https://photos.zillowstatic.com/fp/a3fb1e798fed9b3644ae19204ef3272b-p_e.jpg, https://photos.zillowstatic.com/fp/0868b924f4a02455ad4999dcb3ec4666-p_e.jpg, https://photos.zillowstatic.com/fp/12cd2bdde6c95df218585fc75a6fa4d7-p_e.jpg, https://photos.zillowstatic.com/fp/a3c088c5a61ed8e558c992308a51aad3-p_e.jpg, https://photos.zillowstatic.com/fp/38b635ff05a248c9e4a943a8d86ad682-p_e.jpg, https://photos.zillowstatic.com/fp/08bef717a37bdba47420dcc8650e335c-p_e.jpg, https://photos.zillowstatic.com/fp/9571dac32430873b136ee7f0fcc8ef81-p_e.jpg, https://photos.zillowstatic.com/fp/9592f23241c6d49c0d4fe28977476734-p_e.jpg, https://photos.zillowstatic.com/fp/4904752d3bc0f2ad8eb1aa5de8861b4f-p_e.jpg, https://photos.zillowstatic.com/fp/488cb4282d0991b418acf2fd5200ad7a-p_e.jpg, https://photos.zillowstatic.com/fp/1bfb5dec03babb49db1ff5a0f26166a6-p_e.jpg, https://photos.zillowstatic.com/fp/f4014936da1ff5db9ee1210186489970-p_e.jpg",1250,GA,FOR_RENT,(undisclosed Address),https://www.zillow.com/b/291-s-pond-st-toccoa-ga-BL3w6h/,30577
"828 Mize Rd #2/1, Toccoa, GA 30577",900,1,2,Toccoa,$,447620607,https://photos.zillowstatic.com/fp/46be145398aa40e618951138a741eb30-p_e.jpg,34.55475,-83.32361,"https://photos.zillowstatic.com/fp/46be145398aa40e618951138a741eb30-p_e.jpg, https://photos.zillowstatic.com/fp/864254d8e10baa14cc38b7bbc021f505-p_e.jpg, https://photos.zillowstatic.com/fp/298e22a9cecb85860df37c66bd555b8d-p_e.jpg, https://photos.zillowstatic.com/fp/f55f8fdd7ca19f2a209ce704932645ef-p_e.jpg, https://photos.zillowstatic.com/fp/4e687a2cef5067d0d047c3fd1b96ab53-p_e.jpg, https://photos.zillowstatic.com/fp/cb69e71c5e3fe4b7f160c426b6e55422-p_e.jpg, https://photos.zillowstatic.com/fp/8d98fa43a0faab0ebd173f7dbcfc524a-p_e.jpg, https://photos.zillowstatic.com/fp/d28b3a606bb5956abe820766ad6a6729-p_e.jpg, https://photos.zillowstatic.com/fp/bbb3e4cbc06b57e025630b6bf9c7bd3f-p_e.jpg, https://photos.zillowstatic.com/fp/9e6f8311319c07696d2d54e355d194dd-p_e.jpg",1250,GA,FOR_RENT,828 Mize Rd #2/1,https://www.zillow.com/homedetails/828-Mize-Rd-2-1-Toccoa-GA-30577/447620607_zpid/,30577
"389 Collins Rd, Toccoa, GA 30577",,1,2,Toccoa,$,105375877,https://photos.zillowstatic.com/fp/abe38fec669c35ebffa9b8ede50e0b68-p_e.jpg,34.571205,-83.31956,"https://photos.zillowstatic.com/fp/abe38fec669c35ebffa9b8ede50e0b68-p_e.jpg, https://photos.zillowstatic.com/fp/097b7c01a408b831b521a0f9cd3a2a7f-p_e.jpg, https://photos.zillowstatic.com/fp/c7ddf9350d7a10816be90e1787ab19d7-p_e.jpg, https://photos.zillowstatic.com/fp/f5dea098725f5b1bf2a2059dc23fbc4f-p_e.jpg, https://photos.zillowstatic.com/fp/86ab426643995e6d6025a11b8a26650c-p_e.jpg, https://photos.zillowstatic.com/fp/7bc4ae27a240fcef716303ec239b4079-p_e.jpg, https://photos.zillowstatic.com/fp/e8c3e1701e22ea713c3012a3f35bb908-p_e.jpg",1300,GA,FOR_RENT,389 Collins Rd,https://www.zillow.com/homedetails/389-Collins-Rd-Toccoa-GA-30577/105375877_zpid/,30577
"86 Greenwood Dr #6, Toccoa, GA 30577",700,1,2,Toccoa,$,2057775397,https://photos.zillowstatic.com/fp/bb7d13732f2a4050e9ebee52f454c653-p_e.jpg,34.58902,-83.33943,"https://photos.zillowstatic.com/fp/bb7d13732f2a4050e9ebee52f454c653-p_e.jpg, https://photos.zillowstatic.com/fp/efd26e44261947acf543dc2bf5b8c385-p_e.jpg, https://photos.zillowstatic.com/fp/2f57d95587c878457642c95b6fba71c2-p_e.jpg, https://photos.zillowstatic.com/fp/79e3f909aeac9425f209142ea0840782-p_e.jpg, https://photos.zillowstatic.com/fp/7b0bd13383e959fa4889912659ac9867-p_e.jpg, https://photos.zillowstatic.com/fp/2b5249540b206b8f56ba8324c7b6bc82-p_e.jpg, https://photos.zillowstatic.com/fp/6ee9a496aac8b20124a614dd71968076-p_e.jpg, https://photos.zillowstatic.com/fp/f25cc63ab14bf8c84a0479ef88df4f5e-p_e.jpg, https://photos.zillowstatic.com/fp/330f32dc3a0cb5d10654d026f742325d-p_e.jpg",1000,GA,FOR_RENT,86 Greenwood Dr #6,https://www.zillow.com/homedetails/86-Greenwood-Dr-6-Toccoa-GA-30577/2057775397_zpid/,30577
"152 Colonial Dr, Toccoa, GA 30577",2176,2,2,Toccoa,$,444685789,https://photos.zillowstatic.com/fp/2e5545a67e3c988080d1843dc6af2a86-p_e.jpg,34.56671,-83.29508,"https://photos.zillowstatic.com/fp/2e5545a67e3c988080d1843dc6af2a86-p_e.jpg, https://photos.zillowstatic.com/fp/a7e84a2c2c68ec4cb775d824d8b218b3-p_e.jpg, https://photos.zillowstatic.com/fp/bc6871a8259cb732b0aabe1ea2b81626-p_e.jpg, https://photos.zillowstatic.com/fp/df48f1ff09b17816aa3fcc46a9972f9a-p_e.jpg, https://photos.zillowstatic.com/fp/6d4a97363305acc224aa13a8f090e59d-p_e.jpg, https://photos.zillowstatic.com/fp/b3e349d5629a18f5f7c1dfb00091c5bf-p_e.jpg, https://photos.zillowstatic.com/fp/d83a66e372f2567e6bf4426ed8bf68ba-p_e.jpg, https://photos.zillowstatic.com/fp/8e1b05935c2ba4e60d826268ce44b48f-p_e.jpg, https://photos.zillowstatic.com/fp/7c5616effc2ed98acb0d001e8af3c003-p_e.jpg",1100,GA,FOR_RENT,152 Colonial Dr,https://www.zillow.com/homedetails/152-Colonial-Dr-Toccoa-GA-30577/444685789_zpid/,30577
"529 Davis Ave, Toccoa, GA 30577",1898,2,3,Toccoa,$,117949671,https://photos.zillowstatic.com/fp/ee000e5b7e0739682703a52b2b043f62-p_e.jpg,34.574905,-83.31815,"https://photos.zillowstatic.com/fp/ee000e5b7e0739682703a52b2b043f62-p_e.jpg, https://photos.zillowstatic.com/fp/0703582c732f77655e156c6cc08749ef-p_e.jpg, https://photos.zillowstatic.com/fp/4032c6ff717643b5a8513f59fb2edde8-p_e.jpg, https://photos.zillowstatic.com/fp/35c177091cc65fb42dc28faa0ea90295-p_e.jpg, https://photos.zillowstatic.com/fp/4ba89fd39929c9dffa0951a98b96bdd5-p_e.jpg, https://photos.zillowstatic.com/fp/1008c2e5793f504693c1af33316bbe15-p_e.jpg, https://photos.zillowstatic.com/fp/cfb36c28e38aefbc596fd3688e9905f2-p_e.jpg, https://photos.zillowstatic.com/fp/acb84d42e76bd97083b488cfd18d98aa-p_e.jpg, https://photos.zillowstatic.com/fp/54be544a8585d9473a5ad9349013ce5c-p_e.jpg, https://photos.zillowstatic.com/fp/90cd1530590a0f076063b05f1b90c51c-p_e.jpg",1595,GA,FOR_RENT,529 Davis Ave,https://www.zillow.com/homedetails/529-Davis-Ave-Toccoa-GA-30577/117949671_zpid/,30577
"26 Doyle St #203, Toccoa, GA 30577",1350,2,2,Toccoa,$,2057801814,https://photos.zillowstatic.com/fp/1119afaa8263f306dd8348c3cd6553f3-p_e.jpg,34.579124,-83.329605,"https://photos.zillowstatic.com/fp/1119afaa8263f306dd8348c3cd6553f3-p_e.jpg, https://photos.zillowstatic.com/fp/b7df5cf6ea2680053ebcfbf73daef767-p_e.jpg, https://photos.zillowstatic.com/fp/04c4a6a91cd6938fb3a14917e32b98fc-p_e.jpg, https://photos.zillowstatic.com/fp/a4c461c3af20e8b8b91e2d6e2cd03505-p_e.jpg, https://photos.zillowstatic.com/fp/34483cde16d58bf869ac05b84c524f09-p_e.jpg, https://photos.zillowstatic.com/fp/8d666d99c0b8097539a3aa883a905296-p_e.jpg, https://photos.zillowstatic.com/fp/9e5ac2a8bb803809b98ec590e8d5c7a3-p_e.jpg, https://photos.zillowstatic.com/fp/c826783b8461ef0e114eea1d45db0b03-p_e.jpg, https://photos.zillowstatic.com/fp/794e9e5222254fd77431bf20894b0bfb-p_e.jpg, https://photos.zillowstatic.com/fp/aedf6b22776602518344f3bcf0b41933-p_e.jpg, https://photos.zillowstatic.com/fp/bb3af98de4a8e65507f44be2f86eba4b-p_e.jpg, https://photos.zillowstatic.com/fp/73362f57e4cfdca23d16e41d379f6863-p_e.jpg, https://photos.zillowstatic.com/fp/d0f0dbd41ace1b0a1ef389729d32709d-p_e.jpg, https://photos.zillowstatic.com/fp/ef20fd8a06cb36e28cb6efc5c13bb104-p_e.jpg, https://photos.zillowstatic.com/fp/83775fbd4c3abccd4bef64531aaa77c2-p_e.jpg, https://photos.zillowstatic.com/fp/c6ffc792e4dce2de6f3fb62f8a025747-p_e.jpg",1550,GA,FOR_RENT,26 Doyle St #203,https://www.zillow.com/homedetails/26-Doyle-St-203-Toccoa-GA-30577/2057801814_zpid/,30577
"65 Hughes Street, 65 Hughes St #101, Toccoa, GA 30577",2178,1,2,Toccoa,$,2055896751,https://photos.zillowstatic.com/fp/c9be9cc87ac41052cfe97d285df2ca1d-p_e.jpg,34.573208,-83.33406,"https://photos.zillowstatic.com/fp/c9be9cc87ac41052cfe97d285df2ca1d-p_e.jpg, https://photos.zillowstatic.com/fp/fb1214195570e23dd3fee122f50b0f6a-p_e.jpg, https://photos.zillowstatic.com/fp/b936d7a4dbe08e01dd666b4670665fc4-p_e.jpg, https://photos.zillowstatic.com/fp/bbbe4467ad6d8f8fca111c40c678b3aa-p_e.jpg, https://photos.zillowstatic.com/fp/de559c5f400b47768a69b26289ae9597-p_e.jpg, https://photos.zillowstatic.com/fp/ca50acaa32e717402aea0836e396d836-p_e.jpg, https://photos.zillowstatic.com/fp/22619a44dde1be0fb8e31b5e6ce45fab-p_e.jpg",1050,GA,FOR_RENT,65 Hughes St #101,https://www.zillow.com/b/65-hughes-street-toccoa-ga-9CJZ3D/,30577
